percepcion,ideologia,KEY
neutro,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
N/S,PRI poco ,20_278
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
N/S,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
aprueba mucho,Ninguno ,20_44
neutro,Ninguno ,20_278
desaprueba mucho,PRD mucho,20_2
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
aprueba algo,PRI mucho,20_184
desaprueba mucho,PAN poco,20_184
desaprueba algo,Ninguno ,20_184
desaprueba algo,PNA poco ,20_184
desaprueba algo,PRD poco,20_278
desaprueba mucho,Ninguno ,20_278
aprueba mucho,Ninguno ,20_184
desaprueba mucho,PRI mucho,20_184
aprueba mucho,Ninguno ,20_44
aprueba mucho,PRI mucho,20_44
aprueba mucho,PAN poco,20_44
