SbjNum,fecha,Clave.Ent,Entidad,Clave.Mun,KEY,Municipio,Clave.Localidad,Localidad,Clave.Sec,Clave.Manzana,PA,PB,B1,PD,P1_1,P1_2,P1_3,P1_5,P1_6,P1_7,P2_1,P2_2,P2_3,P2_5,P2_6,P2_7,P3,P3_1,P4,P5,P7,ideologia,P8,percepcion,P9,P10,P11,P12_1,P12_2,P12_4,P12_5,NIVEL,Ponderador
4408341242,07/09/2023,15,MEXICO,38,15_38,"HUIXQUILUCAN, MEX.",1,HUIXQUILUCAN DE DEGOLLADO,2048,34,2,21,,1,1,2,1,1,1,1,1,,3,3,3,2,1,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,98,3,1,1,1,1,6,1.96
9230027,07/09/2023,8,CHIHUAHUA,37,8_37,"JUAREZ, CHIH.",1,JUAREZ,1889,92,2,36,,1,1,2,1,2,1,,3,,3,,3,,1,1,2,4,2,PT- Partido del Trabajo,4,Que haya un cambio de partido en el gobierno,2,2,2,2,2,2,2,5,1.2
4408750049,07/09/2023,16,MICHOACAN,103,16_103,"URUAPAN, MICH.",1,URUAPAN DEL PROGRESO,2210,66,1,41,,1,1,1,1,1,1,2,2,3,3,2,3,,3,1,2,7,2,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,3,0.84
189835748,07/09/2023,26,SONORA,49,26_49,"HERMOSILLO, SON.",1,HERMOSILLO,592,4,1,52,,1,1,2,1,1,1,,1,,3,1,3,,3,1,2,7,2,Ninguno,97,Que siga gobernando Morena,1,2,3,1,1,1,2,2,0.66
9230009,07/09/2023,5,COAHUILA,2,5_2,"ACUÑA, COAH.",1,ACUÑA,3,33,1,41,,1,1,2,1,2,1,,1,,4,,3,,3,1,2,7,1,PRI - Partido Revolucionario Institucional,2,Que siga gobernando Morena,1,3,2,3,1,1,1,3,0.84
189947190,07/09/2023,18,NAYARIT,4,18_4,"BAHIA DE BANDERAS, NAY.",1,MEZCALES,972,3,1,54,,1,2,1,2,2,1,2,,3,,,3,,3,1,1,6,2,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,3,2,1,3,2,2,3,0.79
189892688,07/09/2023,11,GUANAJUATO,17,11_17,"IRAPUATO, GTO.",3,ARANDAS,1138,20,2,64,,1,2,1,2,1,1,2,,3,,3,3,,3,1,2,2,98,PAN - Partido Acción Nacional,1,Que haya un cambio de partido en el gobierno,2,1,2,2,2,2,2,7,3.47
4408790984,07/09/2023,16,MICHOACAN,85,16_85,"TANGAMANDAPIO, MICH.",3,TARECUATO,1909,26,1,38,,1,1,2,1,1,1,1,2,,3,2,3,3,3,1,2,6,2,MC - Movimiento Ciudadano,6,Que haya un cambio de partido en el gobierno,2,2,1,3,2,3,2,7,3.72
189826963,07/09/2023,17,MORELOS,30,17_30,"YECAPIXTLA, MOR.",2,JUAN MORALES,865,47,2,44,,1,1,2,1,2,1,,3,,3,,3,,98,1,98,7,2,MORENA,7,Que siga gobernando Morena,1,2,2,1,1,1,1,5,1.2
9230052,07/09/2023,12,GUERRERO,57,12_57,"TECOANAPA, GRO.",43,TEHUITZINGO,2251,13,2,57,,1,1,1,1,1,1,,1,3,4,3,2,,1,1,2,7,1,MORENA,7,Que siga gobernando Morena,1,3,3,1,1,1,1,4,0.96
