percepcion,ideologia,KEY
Desaprueba,Ninguno,30_87
Aprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PRI,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PAN,30_87
Aprueba,PT,30_87
Aprueba,PRI,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,PRI,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguna,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PRI,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,PRI,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,PAN,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Aprueba,Ninguno,30_87
Desaprueba,PAN,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Aprueba,MORENA,30_87
Desaprueba,PAN,30_87
Desaprueba,PAN,30_87
Aprueba,MORENA,30_87
Desaprueba,Ninguno,30_87
Aprueba,MORENA,30_87
Aprueba,Ninguno,30_87
Aprueba,Ninguno,30_87
